,Projected Revenue,Actual Revenue,UpperLIne,LowerLine
0,1381990,503700,2093254.8226282352,-1782228.132101488
1,6707388,3982499,6832766.532308954,2957283.577579231
2,3918305,2343829,4350531.112952236,475048.1582225126
3,33929121,30000904,31059636.01911577,27184153.064386047
4,1799035,1381306,2464417.627917867,-1411065.3268118561
5,2234080,1450818,2851600.1205199314,-1023882.8342097919
6,4810657,4209130,5144708.89143133,1269225.9367016063
7,5453460,3830710,5716792.394958746,1841309.4402290222
8,9654151,5166357,9455334.41252258,5579851.457792857
9,5254625,4523906,5539832.699027218,1664349.7442974944
10,13212889,9741988,12622549.411793197,8747066.457063472
11,3635413,2752702,4098762.147219534,223279.192489811
12,3945338,1526288,4374590.013347624,499107.0586179008
